Team,O-down_3rd_Att,O-down_3rd_Md,O-down_4th_Att,O-down_4th_Md,O-down_Rec_1st,O-down_Rec_1st%,O-down_Rush_1st,O-down_Rush_1st%,O-down_Scrm_Plys,Year
Buccaneers,217,90,17,9,244,63.9,81,19.8,1086,2019
Cardinals,197,71,20,13,176,49.6,109,27.5,1000,2019
Chargers,194,86,18,10,220,55.8,90,24.6,997,2019
Chiefs,187,89,10,6,211,55.8,93,24.8,976,2019
Colts,207,86,24,14,165,53.8,131,27.8,1016,2019
Cowboys,204,96,16,7,229,59,120,26.7,1069,2019
Dolphins,207,71,28,13,210,56.6,64,18.3,1022,2019
Eagles,229,104,24,8,215,55,104,22.9,1104,2019
Falcons,207,87,21,13,258,56.2,84,23.2,1096,2019
Giants,212,79,31,14,187,49.7,89,24.6,1012,2019
Jaguars,220,76,25,12,183,50.3,85,21.8,1020,2019
Jets,212,65,19,7,162,50.2,61,15.9,956,2019
Lions,220,90,13,5,196,57,82,20.2,1021,2019
Packers,203,73,14,7,190,53.4,90,21.9,1020,2019
Panthers,207,66,24,12,230,60.2,82,21.2,1077,2019
Patriots,227,87,15,6,197,52.1,110,24.6,1095,2019
Raiders,201,88,19,11,194,52.9,104,23.8,989,2019
Rams,208,83,13,3,222,55.9,92,22.9,1055,2019
Ravens,187,88,24,17,171,59.2,188,31.5,1064,2019
Redskins,179,52,14,6,154,51.7,74,20.8,885,2019
Saints,192,81,13,5,230,55,97,24,1011,2019
Seahawks,200,79,14,7,190,55.7,121,25.2,1046,2019
Steelers,195,67,15,2,147,46.7,75,19,937,2019
Texans,193,84,25,13,203,57.2,112,25.8,1017,2019
Titans,185,70,14,4,177,59.6,104,23.4,949,2019
Vikings,194,83,15,8,171,53.6,106,22.3,970,2019
49ers,193,73,10,5,201,60.7,98,23.2,1003,2018
Bears,200,82,15,9,177,51.4,108,23.1,1013,2018
Bengals,187,69,17,9,182,55,92,25.6,938,2018
Bills,215,68,18,7,137,50.6,108,23.1,1008,2018
Broncos,207,69,25,15,181,49.3,107,27.2,1015,2018
Browns,208,73,21,9,189,53.5,93,22.6,1023,2018
Buccaneers,187,86,13,9,265,65,80,20.6,1055,2018
Cardinals,199,58,16,6,137,48.4,76,21.4,902,2018
Chargers,177,70,8,7,213,61.2,100,25.1,945,2018
Chiefs,176,83,15,12,239,62.1,108,27.9,996,2018
Colts,214,104,15,7,237,54.9,96,23.5,1070,2018
Cowboys,215,89,21,12,184,51.7,113,25.7,1022,2018
Dolphins,186,56,13,8,153,52.4,75,20.2,878,2018
Eagles,205,84,23,14,221,52.4,94,23.6,1037,2018
Falcons,203,92,19,10,238,55.6,84,23.9,1010,2018
Giants,206,76,20,12,208,54.4,71,20.1,984,2018
Jaguars,230,93,17,8,164,49.8,92,22.1,1005,2018
Jets,214,69,22,11,157,52.5,84,20.5,971,2018
Lions,208,75,18,11,201,53.6,91,22.5,1019,2018
Packers,204,75,20,10,208,53.1,98,29.4,1026,2018
Panthers,185,77,19,9,212,56.1,117,28.1,1011,2018
Patriots,201,82,14,7,206,54.5,131,27.4,1073,2018
Raiders,197,73,16,7,197,51.6,86,22.2,995,2018
Rams,191,86,15,6,236,64.1,134,29.2,1060,2018
Ravens,231,104,22,13,184,55.1,153,28,1135,2018
Redskins,206,75,18,10,156,50.2,96,23.2,967,2018
Saints,184,82,16,13,210,55.1,134,28.4,1010,2018
Seahawks,208,81,14,11,156,55.7,133,24.9,1012,2018
Steelers,198,88,14,9,251,54.7,88,25.5,1058,2018
Texans,208,77,12,8,202,58.6,94,19.9,1040,2018
Titans,205,82,12,7,156,53.2,106,23.4,938,2018
