Team,O-down_3rd_Att,O-down_3rd_Md,O-down_4th_Att,O-down_4th_Md,O-down_Rec_1st,O-down_Rec_1st%,O-down_Rush_1st,O-down_Rush_1st%,O-down_Scrm_Plys,Year
Seahawks,225,75,19,8,184,49.5,80,20.2,1045,2009
Steelers,203,80,12,8,210,59.8,96,22.4,1014,2009
Texans,204,82,12,8,231,57.9,93,21.9,1043,2009
Titans,214,89,22,12,154,56.8,115,23,990,2009
Vikings,223,100,12,8,220,58.4,99,21.2,1054,2009
Bears,219,78,14,6,153,50.3,98,22.6,991,2008
Bengals,236,82,14,7,145,47.8,80,19,984,2008
Bills,203,81,16,7,167,54,107,24.4,956,2008
Broncos,200,95,10,4,223,57.8,103,26.6,1019,2008
Browns,212,72,14,6,127,53.4,84,20.5,921,2008
Buccaneers,229,88,18,10,184,51.8,100,22.2,1045,2008
Cardinals,198,83,16,8,231,55.3,72,21.2,998,2008
Chargers,194,89,11,8,191,61.2,92,21.8,924,2008
Chiefs,214,82,18,7,161,51.9,94,24.8,957,2008
Colts,201,101,16,11,220,56,79,21.4,969,2008
Cowboys,212,91,12,7,170,51.8,102,25.4,979,2008
Dolphins,192,71,15,10,184,55.8,111,24.8,965,2008
Eagles,225,93,9,4,204,56.4,94,22,1056,2008
Falcons,219,95,13,6,157,59.2,130,23.2,1011,2008
Giants,204,88,11,5,176,59.1,130,25.9,1021,2008
Jaguars,213,87,24,14,182,54.3,106,24.9,1005,2008
Jets,197,81,16,9,186,53.6,94,22.3,981,2008
Lions,205,59,20,10,143,50.9,70,19.9,913,2008
Niners,198,75,11,5,176,57,82,20.6,961,2008
Packers,224,99,18,8,182,53.1,98,22.4,1012,2008
Panthers,196,77,8,3,152,61.8,118,23.4,938,2008
Patriots,222,96,22,17,186,54.9,145,28.3,1095,2008
Raiders,214,61,21,9,123,55.4,87,19,919,2008
Rams,216,69,23,11,140,48,95,22.8,982,2008
Ravens,232,95,11,7,147,56.3,132,22.3,1058,2008
Redskins,216,76,16,10,165,51.9,109,22.8,1026,2008
Saints,200,97,18,10,232,56.2,103,25.9,1047,2008
Seahawks,198,62,12,10,142,54.2,103,24.7,927,2008
Steelers,224,92,12,3,179,59.1,93,20.2,1015,2008
Texans,197,83,23,14,210,57.2,106,24.5,1019,2008
Titans,216,78,11,5,143,54,108,21.3,973,2008
Vikings,218,86,18,9,150,56.2,119,22.9,1014,2008
Bears,238,81,16,7,168,51.4,74,17.5,1035,2007
Bengals,208,96,12,4,213,57.1,81,19.5,1008,2007
Bills,195,65,18,8,141,53.6,91,20.3,919,2007
Broncos,198,80,22,7,187,57.4,96,22.4,976,2007
Browns,204,86,15,6,192,63,110,25,1004,2007
Buccaneers,213,82,13,5,162,51.3,98,21.8,975,2007
Cardinals,203,75,14,12,210,59,69,17.2,1016,2007
Chargers,214,84,10,6,158,56.2,104,21.4,980,2007
Chiefs,232,79,18,13,171,51,66,17.2,1001,2007
Colts,203,100,10,6,212,59.7,119,26.7,1020,2007
Cowboys,199,84,14,10,217,63.4,83,19.8,975,2007
Dolphins,218,81,22,13,162,50.9,107,27.5,989,2007
Eagles,229,97,15,9,186,53.1,118,28,1047,2007
Falcons,237,86,19,7,161,47.9,73,19,987,2007
Giants,219,91,17,6,167,55.3,119,25.4,1041,2007
Jaguars,219,100,33,19,180,62.5,127,24.3,1022,2007
Jets,226,85,21,10,173,55.8,91,20.4,1011,2007
Lions,190,62,10,4,203,55.2,73,22.5,965,2007
Niners,220,69,17,5,140,51.1,65,18.2,925,2007
Packers,202,86,11,5,210,54.8,69,17.8,985,2007
Panthers,235,85,14,6,142,49.8,85,18.8,989,2007
Patriots,191,92,21,15,243,60.3,124,27.5,1058,2007
Raiders,229,82,24,10,133,51.2,111,21.8,1000,2007
Rams,223,81,20,7,192,57.7,65,16.1,1026,2007
Ravens,234,90,21,11,175,51.3,95,21.3,1042,2007
Redskins,226,92,15,6,192,60.2,103,20.7,1052,2007
Saints,214,99,25,11,232,52.7,94,24,1060,2007
Seahawks,215,75,14,6,211,56.9,93,21.6,1056,2007
Steelers,220,103,13,7,179,63.5,108,21.1,1000,2007
Texans,193,86,15,11,190,54.9,96,23,968,2007
Titans,217,89,11,2,171,59.4,118,21.7,1037,2007
Vikings,200,69,13,7,139,55.8,130,26.3,964,2007
49ers,209,72,11,6,131,51,97,22.1,918,2006
Bears,231,85,13,9,161,57.1,103,20.5,1042,2006
Bengals,201,72,9,6,200,61.2,87,20,994,2006
Bills,199,63,11,5,132,49.2,82,19.5,898,2006
Broncos,211,78,13,7,151,59,106,21.7,973,2006
Browns,209,70,15,6,153,48.1,72,19.4,938,2006
Buccaneers,222,82,16,4,133,44.9,82,20.3,972,2006
Cardinals,212,83,15,10,187,58.1,84,20,999,2006
Chargers,213,92,11,6,169,58.9,137,26.2,1016,2006
Chiefs,219,89,15,9,184,67.6,105,20.5,1004,2006
Colts,187,105,4,0,241,66.6,112,25.5,1011,2006
Cowboys,205,100,19,9,197,63.6,107,22.7,1015,2006
Dolphins,234,88,14,7,180,52.6,82,20.4,1034,2006
Eagles,209,88,11,5,189,58.5,106,25.5,988,2006
Falcons,220,79,20,8,133,59.9,134,25,1000,2006
Giants,203,77,15,7,163,54.2,120,26.4,1003,2006
Jaguars,217,85,14,7,147,55.3,127,24.8,989,2006
Jets,226,99,16,5,161,51.4,99,20.2,1013,2006
Lions,190,62,22,9,208,55.9,53,17.4,963,2006
Packers,240,94,17,7,185,52.9,93,21.6,1085,2006
Panthers,209,65,9,3,158,48.6,100,23.6,994,2006
Patriots,226,96,20,16,181,55.5,121,24.2,1055,2006
Raiders,212,77,21,7,144,54.8,73,18.5,949,2006
Rams,222,83,18,12,212,57.1,94,22.2,1065,2006
Ravens,233,96,11,8,179,54.6,86,18.1,1017,2006
Redskins,211,79,13,6,150,54.7,123,25.1,979,2006
Saints,234,105,20,12,207,55.6,97,20.6,1075,2006
Seahawks,224,85,8,2,167,57.2,111,22.9,1045,2006
Steelers,217,93,21,10,201,64.4,100,21.3,1041,2006
Texans,198,77,13,9,156,47.4,106,24.6,955,2006
Titans,205,67,17,7,133,58.8,105,22.4,945,2006
Vikings,233,77,21,15,160,48.2,86,19.5,1025,2006
