Team,D-Rush_Att,D-Rush_Yds,D-Rush_YPC,D-Rush_TD,D-Rush_1st,D-Rush_1st%,Year
Buccaneers,444,2107,4.8,12,118,26.6,2010
Cardinals,526,2323,4.4,19,123,23.4,2010
Chargers,404,1500,3.7,14,77,19.1,2010
Chiefs,408,1764,4.3,11,88,21.6,2010
Colts,445,2032,4.6,14,111,24.9,2010
Cowboys,402,1734,4.3,11,84,20.9,2010
Dolphins,447,1601,3.6,8,84,18.8,2010
Eagles,423,1766,4.2,12,91,21.5,2010
Falcons,366,1694,4.6,9,87,23.8,2010
Giants,389,1620,4.2,11,88,22.6,2010
Jaguars,416,1945,4.7,19,98,23.6,2010
Jets,408,1454,3.6,11,70,17.2,2010
Lions,443,1999,4.5,18,98,22.1,2010
Niners,447,1547,3.5,9,86,19.2,2010
Packers,395,1838,4.6,6,82,20.8,2010
Panthers,503,1981,3.9,20,121,24.1,2010
Patriots,409,1728,4.2,10,99,24.2,2010
Raiders,474,2138,4.5,14,98,20.7,2010
Rams,404,1810,4.5,7,88,21.8,2010
Ravens,384,1503,3.9,5,79,20.6,2010
Redskins,444,2041,4.6,15,106,23.9,2010
Saints,421,1797,4.3,13,94,22.3,2010
Seahawks,452,1903,4.2,13,91,20.1,2010
Steelers,333,1004,3,5,61,18.3,2010
Texans,433,1751,4,16,113,26.1,2010
Titans,474,1851,3.9,7,107,22.6,2010
Vikings,417,1635,3.9,10,87,20.9,2010
Bears,467,2022,4.3,14,105,22.5,2009
Bengals,399,1573,3.9,12,95,23.8,2009
Bills,535,2501,4.7,19,134,25,2009
Broncos,458,2059,4.5,11,99,21.6,2009
Browns,506,2314,4.6,15,120,23.7,2009
Buccaneers,529,2531,4.8,16,129,24.4,2009
Cardinals,402,1804,4.5,13,81,20.2,2009
Chargers,422,1884,4.5,10,112,26.5,2009
Chiefs,531,2504,4.7,18,122,23,2009
Colts,467,2024,4.3,10,106,22.7,2009
Cowboys,365,1448,4,7,74,20.3,2009
Dolphins,435,1835,4.2,16,88,20.2,2009
Eagles,413,1675,4.1,11,81,19.6,2009
Falcons,433,1711,4,10,89,20.6,2009
Giants,423,1773,4.2,21,103,24.4,2009
Jaguars,458,1863,4.1,12,100,21.8,2009
Jets,420,1578,3.8,11,87,20.7,2009
Lions,458,2025,4.4,18,95,20.7,2009
Niners,426,1552,3.6,12,77,18.1,2009
Packers,371,1333,3.6,5,68,18.3,2009
Panthers,450,1997,4.4,15,109,24.2,2009
Patriots,398,1768,4.4,6,80,20.1,2009
Raiders,548,2488,4.5,24,126,23,2009
Rams,500,2201,4.4,24,127,25.4,2009
Ravens,435,1492,3.4,8,82,18.8,2009
Redskins,449,1799,4,10,85,18.9,2009
Saints,435,1955,4.5,19,111,25.5,2009
Seahawks,428,1776,4.2,17,80,18.7,2009
Steelers,372,1438,3.9,7,70,18.8,2009
Texans,396,1711,4.3,17,91,23,2009
Titans,402,1711,4.3,16,89,22.1,2009
Vikings,357,1394,3.9,5,63,17.6,2009
Bears,437,1496,3.4,16,93,21.3,2008
Bengals,490,1921,3.9,15,106,21.6,2008
Bills,455,1946,4.3,18,113,24.8,2008
Broncos,469,2337,5,26,122,26,2008
Browns,541,2431,4.5,16,125,23.1,2008
Buccaneers,441,1901,4.3,8,87,19.7,2008
Cardinals,445,1764,4,13,117,26.3,2008
Chargers,408,1641,4,11,98,24,2008
Chiefs,509,2543,5,25,133,26.1,2008
Colts,472,1966,4.2,18,119,25.2,2008
Cowboys,402,1706,4.2,11,85,21.1,2008
Dolphins,388,1620,4.2,11,96,24.7,2008
Eagles,421,1476,3.5,7,79,18.8,2008
Falcons,415,2046,4.9,17,108,26,2008
Giants,386,1533,4,14,78,20.2,2008
Jaguars,428,1709,4,14,98,22.9,2008
Jets,407,1518,3.7,10,86,21.1,2008
Lions,536,2754,5.1,31,147,27.4,2008
Niners,452,1709,3.8,14,104,23,2008
Packers,458,2105,4.6,20,121,26.4,2008
Panthers,432,1912,4.4,14,100,23.2,2008
Patriots,415,1722,4.2,8,78,18.8,2008
Raiders,542,2555,4.7,23,129,23.8,2008
Rams,501,2475,4.9,26,146,29.1,2008
Ravens,366,1302,3.6,4,58,15.8,2008
Redskins,398,1526,3.8,12,86,21.6,2008
Saints,445,1885,4.2,14,100,22.5,2008
Seahawks,457,1899,4.2,13,98,21.4,2008
Steelers,390,1284,3.3,7,73,18.7,2008
Texans,439,1962,4.5,18,114,26,2008
Titans,403,1502,3.7,12,81,20.1,2008
Vikings,371,1230,3.3,10,72,19.4,2008
Bears,454,1967,4.3,17,100,22,2007
Bengals,449,1893,4.2,11,98,21.8,2007
Bills,454,1993,4.4,15,104,22.9,2007
Broncos,501,2282,4.6,14,119,23.8,2007
Browns,460,2072,4.5,8,100,21.7,2007
Buccaneers,454,1726,3.8,11,93,20.5,2007
Cardinals,407,1567,3.8,13,90,22.1,2007
Chargers,416,1712,4.1,11,89,21.4,2007
Chiefs,481,2089,4.3,11,104,21.6,2007
Colts,454,1711,3.8,10,111,24.4,2007
Cowboys,381,1513,4,12,86,22.6,2007
Dolphins,544,2456,4.5,18,129,23.7,2007
Eagles,403,1533,3.8,10,80,19.8,2007
Falcons,481,2033,4.2,12,105,21.8,2007
Giants,408,1563,3.8,12,83,20.3,2007
Jaguars,390,1605,4.1,12,92,23.6,2007
Jets,517,2156,4.2,14,128,24.8,2007
Lions,448,1911,4.3,19,116,25.9,2007
Niners,504,1896,3.8,9,94,18.6,2007
Packers,424,1647,3.9,6,77,18.2,2007
Panthers,472,1771,3.8,13,100,21.2,2007
Patriots,360,1572,4.4,7,91,25.3,2007
Raiders,486,2334,4.8,24,121,24.9,2007
Rams,445,1844,4.1,16,105,23.6,2007
Ravens,446,1268,2.8,9,69,15.5,2007
Redskins,391,1460,3.7,10,89,22.8,2007
Saints,408,1646,4,7,80,19.6,2007
Seahawks,422,1644,3.9,16,78,18.5,2007
Steelers,361,1438,4,6,74,20.5,2007
Texans,417,1825,4.4,15,107,25.7,2007
Titans,369,1478,4,11,80,21.7,2007
Vikings,379,1185,3.1,7,67,17.7,2007
49ers,473,1936,4.1,18,107,22.6,2006
Bears,402,1590,4,7,77,19.2,2006
