Team,Att,Cmp,Cmp%,Yds/Att,PassYds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY,Year
Falcons,537,374,69.6,9.2,4960,38,7,116.8,239,44.5,69,17,76T,37,235,2016
Giants,598,377,63,6.7,4027,26,16,86,190,31.8,46,11,75T,22,148,2016
Jaguars,626,369,59,6.3,3925,24,16,79.5,207,33.1,44,4,51,34,197,2016
Jets,550,311,56.6,6.6,3645,16,25,67.6,166,30.2,48,10,69T,35,179,2016
Lions,594,388,65.3,7.3,4327,24,10,93.3,217,36.5,52,10,73T,37,216,2016
Packers,620,403,65,7.2,4445,40,8,102.2,222,35.8,57,10,66T,35,246,2016
Panthers,563,306,54.4,7,3962,21,19,75.1,194,34.5,49,9,88T,36,277,2016
Patriots,550,368,66.9,8.1,4456,32,2,109.5,203,36.9,56,9,79,24,148,2016
Raiders,596,379,63.6,6.9,4137,29,7,95.3,198,33.2,51,8,75,18,86,2016
Rams,536,312,58.2,6.2,3313,14,20,69.5,151,28.2,43,9,66T,49,362,2016
Ravens,679,439,64.6,6.4,4343,20,16,82.6,205,30.2,40,11,95T,33,243,2016
Redskins,607,407,67,8.2,4948,25,12,97.4,226,37.2,70,13,80T,23,190,2016
Saints,674,472,70,7.8,5258,38,15,102.5,265,39.3,71,11,98,27,184,2016
Seahawks,567,368,64.9,7.8,4422,23,12,93.4,203,35.8,54,12,59T,42,298,2016
Steelers,596,381,63.9,7.3,4377,33,15,93.9,210,35.2,64,10,72T,21,175,2016
Texans,583,347,59.5,5.9,3418,15,16,73.2,173,29.7,34,4,53,32,242,2016
Titans,504,307,60.9,7.4,3720,29,11,93.7,175,34.7,53,8,60T,28,179,2016
Vikings,588,414,70.4,7,4119,20,5,97.7,209,35.5,52,8,71T,38,283,2016
Bears,523,334,63.9,7.4,3843,21,12,89.7,177,33.8,56,10,87T,34,183,2015
Bengals,505,334,66.1,8.1,4104,31,9,104.1,191,37.8,63,13,80,32,181,2015
Bills,465,295,63.4,7.7,3600,23,9,95.6,155,33.3,51,12,63T,42,257,2015
Broncos,606,368,60.7,7,4216,19,23,76.3,201,33.2,41,11,75,39,246,2015
Browns,609,371,60.9,6.8,4156,20,12,84,192,31.5,48,12,61T,53,374,2015
Buccaneers,535,312,58.3,7.6,4042,22,15,84.2,201,37.6,57,9,68,27,190,2015
Cardinals,562,353,62.8,8.5,4775,35,13,101,237,42.2,66,15,68,27,159,2015
Chargers,667,442,66.3,7.3,4855,30,13,94.5,230,34.5,53,8,80,40,264,2015
Chiefs,473,310,65.5,7.4,3493,20,7,95.4,155,32.8,42,10,80T,46,238,2015
Colts,619,355,57.4,6.4,3928,26,19,77.5,195,31.5,46,7,87,37,224,2015
Cowboys,528,334,63.3,7,3677,16,22,76.6,175,33.1,40,4,67,33,206,2015
Dolphins,588,365,62.1,7.2,4231,24,12,88.9,194,33,57,13,54T,45,420,2015
Eagles,623,405,65,7,4341,23,18,85.6,193,31,53,14,78T,37,254,2015
Falcons,621,410,66,7.4,4602,21,17,87.8,230,37,49,9,70T,32,223,2015
Giants,623,392,62.9,7.2,4500,36,14,94.5,208,33.4,53,16,87,27,157,2015
Jaguars,607,355,58.5,7.3,4428,35,18,88.1,215,35.4,72,11,90T,51,320,2015
Jets,604,362,59.9,6.9,4170,33,16,88,210,34.8,56,9,69T,22,113,2015
Lions,632,420,66.5,7.1,4463,33,14,95.1,236,37.3,52,8,57,44,251,2015
Niners,526,322,61.2,6.9,3646,16,12,82.6,154,29.3,46,12,76,53,330,2015
Packers,573,348,60.7,6.7,3825,31,8,92.7,173,30.2,55,6,65T,47,322,2015
Panthers,501,300,59.9,7.7,3873,35,10,99.2,197,39.3,53,10,74T,33,284,2015
Patriots,629,404,64.2,7.6,4812,36,7,101.9,229,36.4,59,12,76T,38,225,2015
Raiders,605,373,61.6,6.8,4129,34,14,91,193,31.9,53,10,68T,33,250,2015
Rams,473,273,57.7,6.2,2931,11,11,74.1,126,26.6,35,10,68T,18,126,2015
Ravens,676,426,63,6.6,4449,21,21,79.4,211,31.2,54,8,50,24,178,2015
Redskins,555,386,69.6,7.7,4294,30,11,102,208,37.5,52,9,78,27,199,2015
Saints,667,460,69,7.8,5205,32,12,100.6,247,37,72,13,80T,32,235,2015
Seahawks,489,333,68.1,8.3,4061,34,8,109.8,190,38.8,60,9,80T,46,271,2015
Steelers,590,391,66.3,8.2,4822,26,21,91.2,207,35.1,61,21,88,33,219,2015
Texans,619,358,57.8,6.6,4079,29,12,85.3,210,33.9,46,8,61,36,246,2015
Titans,551,342,62.1,7.1,3893,25,17,85.5,195,35.4,49,6,61,54,390,2015
Vikings,454,294,64.8,7.2,3246,14,9,87.9,153,33.7,41,6,52,45,318,2015
Bears,609,396,65,6.6,4035,30,19,87.3,194,31.9,41,8,74,41,243,2014
Bengals,503,323,64.2,7.1,3551,20,17,84.2,164,32.6,35,8,81T,23,130,2014
Bills,579,363,62.7,6.7,3856,23,13,86,186,32.1,52,8,84T,39,242,2014
Broncos,607,399,65.7,7.9,4779,40,15,101.3,227,37.4,67,11,86T,17,118,2014
Browns,502,274,54.6,7.3,3678,12,16,72.8,179,35.7,56,11,81T,31,213,2014
Buccaneers,531,301,56.7,6.8,3623,21,20,75.2,162,30.5,51,9,56T,52,326,2014
Cardinals,568,320,56.3,7,3990,21,12,81.8,191,33.6,58,11,81,28,182,2014
Chargers,574,380,66.2,7.5,4296,31,18,93.4,214,37.3,57,9,59,37,198,2014
Chiefs,493,320,64.9,7,3428,18,6,92.2,184,37.3,43,3,70T,49,246,2014
Colts,661,410,62,7.7,5062,42,16,96.8,251,38,78,15,80,29,168,2014
Cowboys,476,328,68.9,8.4,4008,37,11,110.9,205,43.1,54,12,68,30,224,2014
Dolphins,595,394,66.2,6.8,4066,27,12,92.5,226,38,41,4,50,46,337,2014
Eagles,621,384,61.8,7.4,4581,27,21,84.8,218,35.1,63,13,72T,32,225,2014
Falcons,632,418,66.1,7.5,4758,28,15,93.4,233,36.9,61,9,79,31,205,2014
Giants,607,383,63.1,7.4,4470,30,14,92.2,218,35.9,53,10,80T,30,198,2014
Jaguars,557,325,58.4,6.2,3451,15,18,72,154,27.6,43,9,63,71,450,2014
Jets,498,287,57.6,6.4,3206,16,15,75.1,154,30.9,40,9,74,47,260,2014
Lions,604,365,60.4,7.1,4284,22,12,85.9,210,34.8,54,11,73T,45,254,2014
Niners,487,292,60,7,3407,20,10,86.3,165,33.9,49,5,80,52,344,2014
Packers,536,349,65.1,8.3,4447,38,6,109.9,222,41.4,59,15,80T,30,186,2014
Panthers,545,327,60,7,3828,23,12,86.2,199,36.5,43,4,51T,42,317,2014
Patriots,609,392,64.4,7,4291,34,9,97.5,228,37.4,46,8,69T,26,170,2014
Raiders,629,365,58,5.5,3456,22,16,74.4,173,27.5,30,7,77T,28,181,2014
Rams,515,327,63.5,7.2,3695,20,16,84.9,189,36.7,43,7,63,47,295,2014
Ravens,554,344,62.1,7.2,3986,27,12,91,194,35,50,7,80T,19,167,2014
Redskins,547,364,66.5,8.2,4461,18,18,88.8,186,34,57,20,81,58,414,2014
Saints,659,456,69.2,7.5,4952,33,17,97,258,39.2,52,10,69T,30,188,2014
Seahawks,454,287,63.2,7.7,3492,20,7,95.1,160,35.2,54,8,80T,42,242,2014
Steelers,612,411,67.2,8.2,4997,33,10,103.2,243,39.7,56,15,94T,33,172,2014
Texans,485,295,60.8,7.1,3460,22,13,86.4,171,35.3,49,9,76,26,108,2014
Titans,513,299,58.3,7.3,3738,20,16,81,159,31,50,8,80,50,326,2014
Vikings,517,322,62.3,6.9,3566,17,18,79.2,171,33.1,43,7,87T,51,322,2014
